date,published_time,post_created_time,produced_by,permalink_url,title,message,primary_category_l0,primary_category,(Undefined)Suggestion for Change in Primary,Primary Category  Suggestion Explaination,Primary_Category_1,Secondary Category,Secondary Category Suggestion 3 or less and comma sep,Secondary Category Suggestion Explaination,Secondary_Category_1,Secondary_Category_1_revisited,video_type,video_type suggestion,Video_Type_1,voice_first_3_seconds,visual_first_3_seconds,visual_first_3_seconds_Other,background_music_type_first_3_seconds,Background Music In Beginning ,Video Format ,Video Length,thumbnail,thumbnail_Sentiment,thumbnail_famous_personality_name,thumbnail_famous_personality_profession,Tags
2019-10-17 , 06:35:15,2019-10-17 06:35:1571294100,DG,https://www.facebook.com/1954072204870360/posts/2466178210326421/,Mumbai Girls To Participate In Robotics Event In Dubai,"5 लड़कियां जाएंगी robots बनाने के लिए Dubai 

FIRST Global",Science & Tech,Science & Tech*,,,Education,People,,,"Tech, Person Specific",Person Specific,Informative,,Informative,text only (to),Crowd,,relevant,,,,Crowd,Action,,,"Robotics, FIRST Global Challenge, Dubai, Indian Girls in First Global Challenge, Robots"
2019-10-10 , 11:05:15,2019-10-10 11:05:1570705500,DV,https://www.facebook.com/1954072204870360/posts/2459957057615203/,ISL's Role In Sandesh Jhingan's Career,"किस तरह ISL ने बदली Sandesh Jhingan की जिंदगी?

Sandesh Jhingan ISL- Indian Super League",Sports & Games,Sports & Games,,,Sports & Games,Business & Money,,,"Football, Famous Personality","Football, Famous Personality",Informative,,Informative, voice of famous personality (fpv),famous personality (fp),,relevant,,,,Commoner,Action,,,"Indian Super League, Talented Footballer Sandesh Jhigan, Indian Footballer Sandesh jhingan, Reliance Foundation, Kerala Blasters"
2019-10-09 , 16:05:15,2019-10-09 16:05:1570637100,HR,https://www.facebook.com/1954072204870360/posts/2459302801013962/,Monetary Compensation Announced For Displaced Kashmiri Families,"Union Cabinet ने कौन से लिए हैं 2 बड़े फैसले?

Prakash Javadekar",Politics,Government,,,Government,Economy,,,"Economy/Economic, Budget","Economy/Economic, News",Informative,,Informative,text only (to),commoner (np),,relevant,,,,Crowd,Anger,,,"Indian Government Decisions, Prakash Javadekar, POK Families 5.5 lakh, Dearness allowance benefits, Modi Govt, Modi Sarkar"
2019-10-13 , 02:30:15,2019-10-13 02:30:1570933819,HG,https://www.facebook.com/1954072204870360/posts/2461070410837201/,Meerabai - Story Of Unconditional Love,मीराबाई जयंती पर जानिए मीराबाई को कैसे हुआ कृष्ण से प्रेम?,Dharohar,Dharohar*,,,Lifestyle,People,,,"History, Beliefs, Famous Personality","History, Religion, Famous Personality",Informative,,"Profile, Informative",other,other,Rising Sun,relevant,,,,Famous Personality,Action,meerabai,Spirituality,"Folklore & Mythology, Hinduism, Lord Krishna, Meera bai, Mira bai and Lord Krishna, Love, Unconditional love, Epic"
2019-10-09 , 13:35:15,2019-10-09 13:35:1570628100,SA,https://www.facebook.com/1954072204870360/posts/2459269511017291/,No Idol Immersed In Yamuna River This Year,"इतिहास में पहली बार Delhi में Yamuna नदी में नहीं हुआ एक भी मूर्ति विसर्जन

Arvind Kejriwal Manish Sisodia",Animals ,Environment,,,Environment/Ecosystem,Culture,,,Conservation,Conservation,Informative,,Informative,text only (to),other,Yamuna River,relevant,,,,Nature,Neutral ,,,"Delhi, Aam Admi Party, Durga Puja, Idol Immersion, Yamuna River, Water pollution, Clean India Green India"
2019-10-10 , 04:30:15,2019-10-10 04:30:1570681801,DG,https://www.facebook.com/1954072204870360/posts/2459211801023062/,India To Get The 'Great Green Wall' Soon,"क्या है 'Green Wall of India', जिसके बनने से India की बंजर जमीन होगी उपजाऊ?",Animals ,Environment,,,Environment/Ecosystem,Environment,,,Conservation,Conservation,Informative,,Informative,text only (to),other,Plants,relevant,,,,Nature,Neutral ,,,"Water Conservation, Green Wall, Great Green Wall of India, Deforestation, Desertification, Soil Degradation, Soil Erosion"
2019-11-10 , 12:30:15,2019-11-10 12:30:1573389009,DV,https://www.facebook.com/1954072204870360/posts/2487264658217776/,How This Cancer Survivor Is Beautifying Pune's Walls,तनाव को दूर करने के लिए ये शख्स बना रहा है दीवारों पर ग्राफिटी,X Do not use People,Art,,,Skill & Art ,History,,,"Creative Skill, Health","Visual Arts, Health",Inspiring,,Inspiring, common voice (optv),commoner (np),,relevant,,,,Commoner,Action,,,"Cancer, Pune, Maharashtra, Wall painting, Kartikeya Sharma, Graffiti Artist, Pune City, Cancer Survivor, Inspiration"
2019-11-17 , 04:30:15,2019-11-17 04:30:1573965000,DV,https://www.facebook.com/1954072204870360/posts/2494043454206563/,"Devdas Goswami, A Truck Driver Who Feeds Homeless And Poor",पिछले 35 सालों से बेसहारा लोगों के लिए आसरा बने हुए हैं देवदास गोस्वामी,X Do not use People,Social Work,,,Lifestyle,Lifestyle,,,Social Work,Social Work,Inspiring,,Inspiring,text only (to),Crowd,,relevant,,,,Crowd,Proud,,,"Haryana, Sonipat, Dev Das Goswami, Humanity, Davo NGO"
2019-10-29 , 06:35:15,2019-10-29 06:35:1572330900,VA,https://www.facebook.com/1954072204870360/posts/2474146089529633/,Indian Wrestler Set On A 'Journey Around The World',उत्तराखंड की गाड़ी को कौन ले कर गया बकिंघम पैलेस तक?,X Do not use Viral X,Travel,,,Lifestyle,Lifestyle,,,"Tourism, wrestling","Tourism, Other Sports",Inspiring,,Inspiring,text only (to),commoner (np),,relevant,,,,Commoner,Happy ,,,"London, United Kingdom, Dehra Dun, India, Uttarakhand, Labhanshu Sharma, Buckingham Palace, Indian Wrestler Labhanshu Sharma, World Tour, World Peace"
2019-10-14 , 02:30:15,2019-10-14 02:30:1571020200,RG,https://www.facebook.com/1954072204870360/posts/2460885940855648/,Sheetal Raj: Uttarakhand's Youngest Woman To Conquer Everest,"Sheetal Raj, जिन्होंने छोटी उम्र में फहराया Mt Everest पर तिरंगा",X Do not use People,Sports & Games,,,Sports & Games,People,,,"Mountaineer, Famous Personality, Award/Achievement","Other Sports, Famous Personality, Award/Achievement",Inspiring,,"Profile, Inspiring",text only (to),famous personality (fp),,relevant,,,,Famous Personality,Happy ,Sheetal Raj,Sport,"Mountaineering, Uttarakhand, Sheetal Raj, Indian Mountaineer, Mount Everest, Kanchenjunga, trekking, adventure"
2019-10-09 , 15:05:15,2019-10-09 15:05:1570633500,DV,https://www.facebook.com/1954072204870360/posts/2459150574362518/,Rajnath Singh Receive India's 1st Rafale Jet,"Rajnath Singh ने Rafale Jet में भरी उड़ान, अगले साल देश में आएंगे 4 Rafale Jets 

Indian Air Force Ministry of Defence, Government of India",X Do not use Armed Forces,Government,,,Government,Daily NEWJ*,,,"News, Tech, Army","News, Army",Informative,,Informative,text only (to),Crowd,,loud,,,,Famous Personality,Proud,rajnath singh,Politics,"Bordeaux, France, Rajnath Singh, Defence Minister, Rafale Jets, Shastra Puja by Rajnath Singh, Om on Rafale jet, Sortie"
2019-10-07 , 15:05:15,2019-10-07 15:05:1570460701,VA,https://www.facebook.com/1954072204870360/posts/2457450294532546/,Durga Puja Beyond The Eastern Borders,Bangladesh में भव्य रूप से हुई मां दुर्गा के कुमारी रूप की पूजा,Dharohar,Dharohar*,,,Places,Culture,,,"Culture, Festival, News","Culture, News",Informative,,Informative,text only (to),commoner (np),,relevant,,,,Commoner,Proud,,,"Dhaka, Bangladesh, Durga Puja, Kolkata, Durga Puja in Bangladesh, Shrikrishna temple Dhaka, Bangladesh Border, Navratri, Peaceful Durga Puja"
2019-10-08 , 05:30:15,2019-10-08 05:30:1570512600,SA,https://www.facebook.com/1954072204870360/posts/2457503521193890/,R Ashwin Joins Muralitharan As The Fastest To Reach 350 Test Wickets,"कौनसे record में Ravichandran Ashwin ने की Muralitharan की बराबरी?

Ashwin Ravi",Sports & Games,Sports & Games,,,Sports & Games,People,,,"Cricket, Famous Personality, Award/Achievement","Cricket, Famous Personality, Award/Achievement",Informative,,"Profile, Informative",text only (to),famous personality (fp),,relevant,,,,Famous Personality,Action,R Ashwin,Sport,"Test Cricket & First-Class Cricket, Cricket, Bowling, R Ashwin, Ravichandran Ashwin, Muralitharan, India v South Africa, Spin Bowler"
2019-10-09 , 04:35:15,2019-10-09 04:35:1570595700,SA,https://www.facebook.com/1954072204870360/posts/2458995751044667/,4th Sikh Guru Ram Das Birth Anniversary,आज ही के दिन हुआ था सिखों के 4th गुरु Guru Ram Das Ji का जन्म,X Do not use History,Dharohar*,,,Lifestyle,People,,,"Famous Personality, Religion, Anniversary","Famous Personality, Religion",Day-specific,,"Day-specific, Profile",text only (to),famous personality (fp),,relevant,,,,Famous Personality,Happy ,Sikh guru ram das,Devotional,"Amritsar, Punjab, Punjab (region), Sikhism, Guru Ram Das Ji Birth Anniversar, Guru Arjan Dev Ji, Golden Temple, Ramdaspur, 4th Guru Ram Das Ji"
2019-10-08 , 04:30:15,2019-10-08 04:30:1570509001,SA,https://www.facebook.com/1954072204870360/posts/2457366924540883/,Rajput Community Performing Garba With Swords,कहां किया गया तलवारों संग गरबा?,Art,Lifestyle,,,Lifestyle,Culture,,,"Creative Skill, Culture, Religion","Dance, Culture, Religion",Entertaining,,Entertaining,text only (to),Crowd,,relevant,,,,Crowd,Happy ,,,"Gujarat, Bharuch, Dandiya Raas, Rajput Community, Garba with swords, navratri"
2019-10-29 , 15:05:15,2019-10-29 15:05:1572361500,VA,https://www.facebook.com/1954072204870360/posts/2471221966488712/,The Uniqueness Of Kerala's Chamayavilakku Festival,कौन सा है ये त्यौहार जिसमें पुरुष पहनते हैं महिलाओं के कपड़े और करते हैं मेक अप?,Food,Culture,,,Lifestyle,Culture,,,"Festival, Culture",Culture,Day-specific,,Day-specific,text only (to),commoner (np),,relevant,,,,Commoner,Neutral ,,,"Folklore & Mythology, Kerala, Kerala Chamayavilakku Festival, Chamayavilakku Festival, Transgender Community, Cross dressing in Kerala, Bizzare Stories, Indian Stories"
2019-10-07 , 16:05:15,2019-10-07 16:05:1570464300,DV,https://www.facebook.com/1954072204870360/posts/2457397141204528/,FATF Not Convinced With Pakistan's Actions Against Terrorism,"आतंकवाद के खिलाफ कदम नहीं उठाने पर बढ़ी Pakistan की मुश्किलें, FATF ने जारी की Pak के खिलाफ report",Foreign Affairs,Foreign Affairs,,,Global News,Politics*,,,"Violence, Political","Crime, Political",Controversial,,"Informative, Controversial",text only (to),other,Masjid,low,,,,Famous Personality,Anger,imran khan,Politics,"Terrorism, FATF, Pakistan Blacklisted, Hafiz Saeed, Lashkar-e-Taiba, UNSC, United Nations Security Council, Jama'at-ud-Da'wah"
2019-10-06 , 04:30:15,2019-10-06 04:30:1570336200,AK,https://www.facebook.com/1954072204870360/posts/2455596368051272/,IndiGo Passengers Warmly Receive ISRO Chief K Sivan,"ISRO Chief कर रहे थे economy class में सफर, लोगों ने तालियों से किया स्वागत 

ISRO - Indian Space Research Organisation",X Do not use Viral X,Undefined,,,Technology & Innovations,People,,,"ISRO, Famous Personality"," Famous Personality, Science",Informative,,Emotional,text only (to),famous personality (fp),,no music,,,,Famous Personality,Happy ,K sivan,Science & Tech,"ISRO Chief K Sivan, IndiGo Filght, Indigo airlines, Selfies, Cabin Crew, Motivation, Viral Video"
2019-10-05 , 15:05:15,2019-10-05 15:05:1570287900,SA,https://www.facebook.com/1954072204870360/posts/2455764954701080/,KAZIND 2019: Indian And Kazakh Armies' Joint Military Exercise,"आतंकवाद से निपटने के लिए Indian Army और Kazakhstan Army ने शुरू की military exercise

ADGPI - Indian Army",X Do not use Armed Forces,Police-Army,,,Global News,Foreign Affairs,,,Army,Army,Informative,,Event,text only (to),other,mountain,relevant,,,,Crowd,Neutral ,,,"Terrorism, Uttarakhand, Kazakhstan, Indian Army, Joint military exercise, KAZIND 2019"
2019-10-08 , 11:05:15,2019-10-08 11:05:1570532700,VA,https://www.facebook.com/1954072204870360/posts/2457320514545524/,Samsung Galaxy Fold Launched In India,"देश में लोगों ने 30 minutes में खत्म कर दिया Samsung Galaxy Fold का पूरा stock 

Samsung Samsung Electronics",Science & Tech,Science & Tech*,,,Technology & Innovations,Daily NEWJ*,,,"News, Tech",News,Informative,,Informative,text only (to),other,smart phone,neutral,,,,Object,Neutral ,,,"Mobile device, Samsung Galaxy Fold, Samsung smartphones, Galaxy Fold Launch in India, Electronics, Luxury phone"
2019-10-06 , 11:30:15,2019-10-06 11:30:1570361402,DV,https://www.facebook.com/1954072204870360/posts/2455740254703550/,Guide Shows 'Incredible Indian Moves' To The Tourists,क्यों इस tourist guide का video हो रहा है viral?,X Do not use Viral X,Art,,,Skill & Art ,Entertainment,,,"Dance, X-Factor","Dance, X-Factor",Entertaining,,Entertaining, common voice (optv),commoner (np),,relevant,,,,Commoner,Happy ,,,"Indian Classical Music, Madurai, India, NITI Aayog CEO Amitabh Kant, Tourist Guide Prabhoo, Viral Video, Indian Classical Dance"
2019-10-05 , 13:30:15,2019-10-05 13:30:1570282202,SA,https://www.facebook.com/1954072204870360/posts/2455543014723274/,Chandrayaan-2 Orbiter Detects Charged Particles On Lunar Surface,"Mission Chandrayaan-2 को हासिल हुई बड़ी कामयाबी, चांद पर ढूंढ निकाली ये चीजें

ISRO - Indian Space Research Organisation",Science & Tech,Science & Tech*,,,Technology & Innovations,Daily NEWJ*,,,"ISRO, News", News,Informative,,Informative,text only (to),other,rocket,relevant,,,,Object,Neutral ,,,"Space, Chandrayaan-2 Orbiter, Class, Aluminium, Silicon, Titanium, Charged Particles, ISRO"
2019-10-04 , 15:05:15,2019-10-04 15:05:1570201500,DG,https://www.facebook.com/1954072204870360/posts/2454815001462742/,Middle Class Rejoices As RBI Reduces Repo Rate,RBI ने लोगों को दिया Diwali gift,Business & Money,Business & Money,,,Government,Economy,,,"Economy/Economic, Political","Economy/Economic, Political",Informative,,Informative,text only (to),other,rbi gate,relevant,,,,Object,Neutral ,,,"Diwali, Reserve Bank of India, RBI, RBI reduces repo rate, Home loan, Car loan, Interest rate"
2019-10-05 , 05:00:15,2019-10-05 05:00:1570251642,DG,https://www.facebook.com/1954072204870360/posts/2455469028064006/,TikTok Star Gets A Ticket To Election,"BJP ने Sonali Phogat को दिया ticket, TikTok पर बढ़ी followers की संख्या",Politics,Politics*,,,Others,Viral,,,Internet Sensation,Internet Sensation,Shocking/Surprising,,Shocking/Surprising,text only (to),commoner (np),,relevant,,,,Commoner,Happy ,,,"Hisar, Haryana, BJP Sonali Phogat, TikTok, Politics, Haryana Vidhan Sabha, elections, Viral"
2019-10-26 , 12:30:15,2019-10-26 12:30:1572093000,DV,https://www.facebook.com/1954072204870360/posts/2474175156193393/,Ayodhya's Grand Diwali Celebration,"इस बार अयोध्या में मनाई जाएगी भव्य दिवाली, यहां जानिए क्या होंगे खास-खास कार्यक्रम?",Art,Dharohar*,,,Lifestyle,Lifestyle,,,"Festival, Religion","Culture, Religion",Trending,,General ,text only (to),other,ayodhya,relevant,,,,Crowd,Neutral ,,,"Diwali, Ayodhya Diwali, Ayodhya, Ram Mandir, Ram Leela, Grand Celebration in Ayodhya, Babri Masjid, Yogi Adityanath"
2019-10-13 , 11:30:15,2019-10-13 11:30:1570966202,AK,https://www.facebook.com/1954072204870360/posts/2459920234285552/,IAF Officer Skydives Sharing 'Swachh Bharat' Message,"कैसे IAF के officer ने हवा में दिया Swachh Bharat का message?

Indian Air Force Swachh Bharat Mission, India",X Do not use Armed Forces,Police-Army,,,Forces,Police-Army,,,Conservation,Conservation,Inspiring,,Inspiring,text only (to),commoner (np),,relevant,,,,Commoner,Neutral ,,,"IAF Officer Gajanand Yadava, Skydiving, Swachh Bharat Abhiyaan, Indian Air Force, Skydiving for Swachh Bharat, Wing Commander Gajanand Yadava"
2019-10-03 , 15:05:15,2019-10-03 15:05:1570115100,VA,https://www.facebook.com/1954072204870360/posts/2454086718202237/,Basketball Fever Reigns India,क्या India में छाएगा NBA?,Sports & Games,Sports & Games,,,Sports & Games,Event,,,Basketball,Other Sports,Informative,,Informative,text only (to),Crowd,,relevant,,,,Crowd,Neutral ,,,"Basketball, Mumbai, Maharashtra, India, NBA, Reliance"
2019-10-11 , 04:30:15,2019-10-11 04:30:1570768201,VA,https://www.facebook.com/1954072204870360/posts/2460023320941910/,Significance Of International Day Of The Girl Child,"क्यों हर साल मनाया जाता है International Day of the Girl Child?

United Nations Ministry of Women & Child Development, Government of India",X Do not use People,Foreign Affairs,,,Global News,Lifestyle,,,"Empowerment, Awareness, Anniversary","Empowerment, Awareness",Day-specific,,"Day-specific, Explainers",text only (to),commoner (np),,relevant,,,,Crowd,Happy ,,,"Child Development, Model United Nations, International Day of the Girl Child, United Nations, Equal Rights, Girl Child, Fundamental Rights"
2019-10-08 , 02:30:15,2019-10-08 02:30:1570501815,AKG,https://www.facebook.com/1954072204870360/posts/2457498744527701/,Indian Air Force Day: Celebrating India's Supremacy In Air,"कैसे celebrate किया जाता है देश में Indian Air Force Day?

(via NEWJ Garv)

Indian Air Force",X Do not use Armed Forces,Police-Army,,,Forces,History,,,Air Force,Air Force,Inspiring,,Inspiring,voice over (vo),other,Indian airforce logo,relevant,,,,Object,Neutral ,,,"Military Aircraft, Indian Air Force Day, IAF Day, Indian Air Force, Royal Indian Air Force, World War, Air Show, Air Station"
2019-10-14 , 11:05:15,2019-10-14 11:05:1571051100,AKG,https://www.facebook.com/1954072204870360/posts/2460742247536684/,Jabalpur SP's Unique Initiative,"Jabalpur शहर के SP Amit Singh की अनोखी पहल, गरीब बच्चों को बनाया SP",X Do not use People,Police-Army,,,Forces,People,,,"Police, Person Specific","Police, Person Specific",Inspiring,,Inspiring,text only (to),Crowd,,relevant,,,,Crowd,Happy ,,,"Jabalpur SP Amit Singh, School children become Police officer, Jabalpur, Madhya Pradesh, Police and civil society, civil society, crime"
2019-10-20 , 15:05:15,2019-10-20 15:05:1571583901,DV,https://www.facebook.com/1954072204870360/posts/2468096576801251/,Fingerless Man Struggles To Get 'Aadhaar',कैसे विनोद यादव की जिंदगी बिना आधार कार्ड के खराब हो रही है?,X Do not use People,Undefined,,,Others,Viral,,,"News, Facilities","News, Policies/Norms/Rules",Shocking/Surprising,,"Shocking/Surprising, Viral",text only (to),Crowd,,relevant,,,,Crowd,Sad,,,"Vinod Yadav Fingerless Man, Aadhar Card, Unique Identity, Madhya Pradesh, Chhatarpur, UIDAI, Lok Sabha"
2019-10-03 , 11:05:15,2019-10-03 11:05:1570100700,DG,https://www.facebook.com/1954072204870360/posts/2453866591557583/,Indian Politicians Stuck In Bihar Floods,"Bihar बाढ़ से हुआ बेहाल, बाढ़ का जायजा लेने पहुंचे नेताजी कहीं गुस्सा तो कहीं खुद बाढ़ का हुए शिकार",Animals ,Environment,,,Environment/Ecosystem,Daily NEWJ*,,,Calamity,crisis,Informative,,Informative,text only (to),Crowd,,loud,,,,Commoner,Sad,,,"Bihar, Bihar floods, Sushil Kumar Modi, Ram Vilas Paswan, Ram Kripal Yadav, Nitish Kumar, India"
2019-11-27 , 15:30:15,2019-11-27 15:30:1574868600,AKG,https://www.facebook.com/1954072204870360/posts/2506059186338323/,Teacher Who's Best Friends With Monkeys,मंकी मैन - जो समझते हैं बेजुबान बंदरों की भाषा,X Do not use People,Animals,,,Lifestyle,People,,,"Animals, Person Specific","Animals, Person Specific",Shocking/Surprising,,Shocking/Surprising,text only (to),commoner (np),,relevant,,,,Commoner,Happy ,,,"Animal Rescue, Chimpanzee, Funny Animals, Cute Animals, Monkeys, Monkey Man, Jhabua, Madhya Pradesh"
2019-11-21 , 15:05:15,2019-11-21 15:05:1574348700,VA,https://www.facebook.com/1954072204870360/posts/2499864070291168/,River Becomes Major Obstacle Student's Way To A Bright Future,इस गांव में बच्चों के लिए नदी बनी हुई है अभीशाप,Education,Education,,,Education,Lifestyle,,,"Crisis, Facilities",Crisis,Informative,,General ,text only (to),Crowd,,relevant,,,,Commoner,Neutral ,,,"Poverty & Income Inequality, Hirli, Madhya Pradesh, School, Education, Shipra River"
2019-10-04 , 02:35:15,2019-10-04 02:35:1570156500,DV,https://www.facebook.com/1954072204870360/posts/2454141428196766/,World Animal Welfare Day,दुनियाभर में जानवरों को बचाने के लिए आज मनाया जा रहा है  World Animal Welfare Day,Animals ,Animals,,,Environment/Ecosystem,Environment,,,Animals,Animals,Day-specific,,Day-specific,text only (to),other,deer,relevant,,,,Animal,Neutral ,,,"Animal Welfare, Wildlife, Animal Welfare Day, india, Animals"
2019-10-02 , 06:35:15,2019-10-02 06:35:1569998100,DG,https://www.facebook.com/1954072204870360/posts/2452270171717225/,An Ashram Away From Sabarmati,जिस आश्रम में बसी है Gandhi ji की याद,X Do not use History,Travel,,,Places,Place,,,"History, Famous Personality","History, Famous Personality",Informative,,Informative,text only (to),famous personality (fp),,relevant,,,,Famous Personality,Happy ,Gandhiji and his wife,Politics,"Delhi, Gandhi Ashram, Dhaka Village, Mahatma Gandhi, Gandhi Jayanti, Ahimsa, Kasturba Gandhi, Sabarmati Ashram"
2019-10-01 , 11:05:15,2019-10-01 11:05:1569927900,SA,https://www.facebook.com/1954072204870360/posts/2452193858391523/,Pak Invites Former PM Manmohan Singh To Inaugurate Kartarpur Corridor,Pak किस चीज के लिए Former PM Manmohan Singh को भेजेगा invitation?,Foreign Affairs,Foreign Affairs,,,Global News,Politics*,,,"Political, Famous Personality","Political, Famous Personality",Informative,,Informative, voice of famous personality (fpv),famous personality (fp),,relevant,,,,Famous Personality,Happy ,Shah mehmood qureshi,Politics,"Sikhism, Pakistan, Kartarpur Corridor, Nankana Sahib Gurudwara, Shah Mahmood Qureshi, Manmohan Singh, Former PM Manmohan Singh, PM Modi"
2019-10-03 , 04:30:15,2019-10-03 04:30:1570077002,DV,https://www.facebook.com/1954072204870360/posts/2452265191717723/,New Khadi Industry Set Up In Wardha,क्यों Maharashtra के Wardha में खोली गई Khadi industry?,X Do not use People,Business & Money,,,Business,Daily NEWJ*,,,"Small Business, News",News,Informative,,Informative,text only (to),other,Khadi industry,relevant,,,,Object,Neutral ,,,"Maharashtra, Khadi industry, Handloom industry, wardha, Women Empowerment, Gram Udyog, Cottage industry"
2019-11-03 , 04:30:15,2019-11-03 04:30:1572755400,DV,https://www.facebook.com/1954072204870360/posts/2480856718858570/,Lodhi Colony's Street Art,स्ट्रीट आर्ट ने बदली इस कॉलोनी की सूरत,Art,Art,,,Places,Place,,,"Creative Skill, Conservation","Visual Arts, Conservation",Informative,,Informative,text only (to),other,painted walls,relevant,,,,Other,Neutral ,,,"Delhi, India, Wall painting, New Delhi, Lodhi Colony, Delhi Street Art, Yogesh Saini, Graffiti"
2019-11-04 , 04:30:15,2019-11-04 04:30:1572841800,SU,https://www.facebook.com/1954072204870360/posts/2480776365533272/,'Matka Man' Comes At People's Rescue To Beat Delhi's Scorching Heat,"ये हैं दिल्ली के मटका मैन, जो 70 साल की उम्र में रोजाना बुझा रहे हैं हजारों लोगों की प्यास",Food,Food,,,Lifestyle,Lifestyle,,,Food,Food,Entertaining,,Entertaining,text only (to),Crowd,,neutral,,,,Commoner,Neutral ,,,"Delhi, Matka Man, Alagaratnam Natarajan, Summer, Water Supply, Drinking Water, Delhi Heat"
2019-09-30 , 16:05:15,2019-09-30 16:05:1569859500,VA,https://www.facebook.com/1954072204870360/posts/2451617941782448/,Indian Diplomats Who Took Pakistan To Cleaners At UNGA,"India की वो young female diplomats, जिन्होंने UNGA में हर बार Pakistan को खदेड़ा",Politics,Foreign Affairs,,,Global News,Politics*,,,Political,Political,Informative,,General , common voice (optv),commoner (np),,relevant,,,,Commoner,Neutral ,,,"Pakistan, UNGA, United Nations General Assembly, Indian Diplomats, Vidisha Maitra Speech, Right To reply"
2019-10-02 , 02:30:15,2019-10-02 02:30:1569983401,DG,https://www.facebook.com/1954072204870360/posts/2452107188400190/,Celebrating 150th Birth Anniversary Of Mahatma Gandhi,कौनसी book में Mahatma Gandhi ने लिखी थी अपनी जिंदगी की सत्य घटनाएं?,X Do not use History,Undefined,,,Politics,People,,,"History, Famous Personality, Anniversary","History, Famous Personality",Day-specific,,"Day-specific, Profile",voice over (vo),famous personality (fp),,relevant,,,,Famous Personality,Happy ,Mahatma Gandhi,Politics,"Gandhi Jayanti, Mahatma Gandhi, Mohandas Karamchand Gandhi, 150th Anniversary of Mahatma Gandhi, Bapu, Father of the Nation, Freedom Fighter, Non-violence"
2019-10-30 , 02:30:15,2019-10-30 02:30:1572402600,HR,https://www.facebook.com/1954072204870360/posts/2474471369497105/,Brief History Of Our Existence,"ब्रह्मांड के शुरू होने से लेकर मानव जाति की उत्तपति तक, सब कुछ",Science & Tech,Science & Tech*,,,Technology & Innovations,History,,,"Science, History","Science, History",Informative,,Informative,voice over (vo),other,universe,relevant,,,,Object,Neutral ,,,"Earth, Dinosaurs, Big Bang, Earth's atmosphere, Sun, Big Bang theory, Human existence"
2019-10-02 , 11:05:15,2019-10-02 11:05:1570014300,RG,https://www.facebook.com/1954072204870360/posts/2452111538399755/,Kerala Police Sub Inspector Donates Hair For A Noble Cause,Kerala Police की इस महिला Sub Inspector ने क्यों कटवाए अपने पूरे बाल?,Food,Social Work,,,Lifestyle,People,,,"Police, Social Work, Person Specific","Police, Social Work, Person Specific",Inspiring,,"Inspiring, Informative",text only (to),commoner (np),,relevant,,,,Commoner,Happy ,,,"Cancer, Hair Extensions, Hair Loss, Hair donation, Kerala Police Sub Inspector, Aparna, Cancer Patients, Wigs"
2019-11-04 , 02:30:15,2019-11-04 02:30:1572834610,RG,https://www.facebook.com/1954072204870360/posts/2481776325433276/,Lord Shiva's Beloved Nandi,"क्या है नंदी बैल की कथा

(via NEWJ Dharohar)",Dharohar,Dharohar*,,,Lifestyle,Lifestyle,,,"Religion, Beliefs",Religion,Explainers,,Explainers,voice over (vo),other,rising sun,low,,,,Object,Neutral ,,,"Folklore & Mythology, Hinduism, Nandi, Lord Shiva, Shankara, Nandi Bail, नंदी बैल, Parvati"
2019-10-08 , 06:35:15,2019-10-08 06:35:1570516500,VA,https://www.facebook.com/1954072204870360/posts/2457443644533211/,India's 'Lok Nayak' Jayaprakash Narayan,"Jayaprakash Narayan, जिन्हें कहा गया देश का 'लोक नायक'",X Do not use History,Politics*,,,Politics,People,,,"History, Famous Personality","History, Famous Personality",Profile,,Profile,text only (to),famous personality (fp),,relevant,,,,Famous Personality,Neutral ,jayprakash narayan,Politics,"Socialism, Jayaprakash Narayan, Lok Nayak, Indira Gandhi, National Emergency, Janata Party, Janata Dal, Karl Marx"
2019-10-11 , 02:30:15,2019-10-11 02:30:1570761023,VA,https://www.facebook.com/1954072204870360/posts/2459960230948219/,India's 'Lok Nayak' Jayaprakash Narayan,आज हुआ था देश के लोक नायक J P Narayan का जन्म,X Do not use History,Politics*,,,Politics,People,,,"History, Famous Personality","History, Famous Personality",Profile,,Profile,text only (to),famous personality (fp),,relevant,Famous Personality,Neutral ,,Famous Personality,Neutral ,jayprakash narayan,Politics,"Socialism, Jayaprakash Narayan, Lok Nayak, Indira Gandhi, National Emergency, Janata Party, Janata Dal, Karl Marx"
2019-10-07 , 02:30:15,2019-10-07 02:30:1570415401,DG,https://www.facebook.com/1954072204870360/posts/2455809814696594/,India's Very Own 'Sultan Of Swing' Zaheer Khan,"जिनकी आग उगलती गेंदों से थर्राते थे batsmen, Zaheer Khan का आज है जन्मदिन 

Zaheer Khan",Sports & Games,Sports & Games,,,Sports & Games,People,,,"Cricket, Famous Personality, Anniversary","Cricket, Famous Personality",Day-specific,,"Day-specific, Profile",text only (to),famous personality (fp),,relevant,,,,Famous Personality,Proud,Zaheer khan,Sport,"Cricket, Zaheer Khan, Zak, Indian fast bowler, Team India, BCCI, Mumbai Indians, IPL"
